Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /get?uid={{uid}},249,0,230,301.8810100407009,220.01499999896623,2036.7917999974452,355.0,4.262724772775931,0.0,230,250,260,310,490,620,740,1100,2000,2000,2000
GET,GET /uuid,249,0,240,379.9476313252382,219.34739999414887,5356.0717000000295,53.0,4.262724772775931,0.0,240,270,360,450,640,960,1400,1800,5400,5400,5400
,Aggregated,498,0,240,340.91432068296956,219.34739999414887,5356.0717000000295,204.0,8.525449545551862,0.0,240,250,310,370,550,740,1100,1600,5400,5400,5400
